SITENAME,BCF-Sector,Solution Type,Site Type,Blended Congestion,Lat,Lon,Town,Province,ACL,Azimuth,Beam Width,Length
MANOLO,MANOLO-2,MACRO,MACRO,AMBER,8.365562,124.861567,BUKIDNON,MANOLO FORTICH,50,40,40,200
MARAMA,MARAMA-3,MACRO,MACRO,AMBER,7.757818,125.004897,BUKIDNON,MARAMAG,49,315,40,200
POB1ISBELABAS,POB1ISBELABAS-1,MACRO,MACRO,AMBER,6.70508,121.971,BASILAN,ISABELA CITY,32,350,40,200
CABANG,CABANG-3,MACRO,MACRO,AMBER,8.076636,125.297374,BUKIDNON,CABANGLASAN,45,220,40,200
HILLMANBRGY3DAPASDN,HILLMANBRGY3DAPASDN-2,MACRO,MACRO,AMBER,9.761764,126.053645,SURIGAO DEL NORTE,DAPA,28,175,40,200
LABUAN,LABUAN-1,MACRO,MACRO,GREEN,7.097856,121.903092,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,39,10,40,200
CAWA2,CAWA2-3,MACRO,MACRO,AMBER,6.909186,122.063608,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,27,300,40,200
GUSU,GUSU-2,MACRO,MACRO,AMBER,6.919461,122.05112,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,36,70,40,200
GUSU,GUSU-3,MACRO,MACRO,AMBER,6.919461,122.05112,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,36,225,40,200
LANTAKA,LANTAKA-2,MACRO,MACRO,GREEN,6.902793,122.07832,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,24,300,40,200
TALON2ZDS,TALON2ZDS-2,MACRO,MACRO,AMBER,6.910158,122.115745,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,38,170,40,200
TETUAN,TETUAN-1,MACRO,MACRO,GREEN,6.918393,122.0855,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,36,80,40,200
BAUYA,BAUYA-2,MACRO,MACRO,AMBER,7.729833,123.784202,LANAO DEL NORTE,SULTAN NAGA DIMAPORO,39,140,40,200
HILLMANBRGY3DAPASDN,HILLMANBRGY3DAPASDN-3,MACRO,MACRO,AMBER,9.761764,126.053645,SURIGAO DEL NORTE,DAPA,28,270,40,200
LABASO,LABASO-2,MACRO,MACRO,GREEN,8.068342,122.521832,ZAMBOANGA DEL NORTE,LABASON,41,190,40,200
LABASO,LABASO-3,MACRO,MACRO,AMBER,8.068342,122.521832,ZAMBOANGA DEL NORTE,LABASON,41,265,40,200
DIPOLO,DIPOLO-3,MACRO,MACRO,AMBER,8.58385,123.34319,ZAMBOANGA DEL NORTE,DIPOLOG CITY (CAPITAL),39,190,40,200
GRANDE,GRANDE-2,MACRO,MACRO,GREEN,6.913585,122.052805,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,12,150,40,200
GUSU,GUSU-1,MACRO,MACRO,GREEN,6.919461,122.05112,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,36,330,40,200
MANOLO,MANOLO-1,MACRO,MACRO,AMBER,8.365562,124.861567,BUKIDNON,MANOLO FORTICH,50,300,40,200
SANTONGENSAN,SANTONGENSAN-2,MACRO,MACRO,AMBER,6.133701,125.130657,SOUTH COTABATO,GENERAL SANTOS CITY,40,130,40,200
SENARESTAGANASDN,SENARESTAGANASDN-3,MACRO,MACRO,AMBER,9.693443,125.582851,SURIGAO DEL NORTE,TAGANA-AN,48,210,40,200
TAGLATAWAN,TAGLATAWAN-2,MACRO,MACRO,AMBER,8.714096,125.759478,AGUSAN DEL SUR,BAYUGAN CITY,40,185,40,200
TUNGAW,TUNGAW-2,MACRO,MACRO,AMBER,7.601745,122.420672,ZAMBOANGA SIBUGAY,TUNGAWAN,39,115,40,200
SMCDOOD,SMCDOOD-2,MACRO,MACRO,GREEN,8.45699,124.622435,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),17,150,40,200
TCPHT1BULUACDOMOR,TCPHT1BULUACDOMOR-1,MACRO,MACRO,GREEN,8.505229,124.611192,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),36,320,40,200
CAMPBAUTISTA,CAMPBAUTISTA-3,LEGO,MACRO,GREEN,6.056303,121.011509,SULU,JOLO (CAPITAL),40,240,40,200
RJOSIA,RJOSIA-1,MACRO,MACRO,AMBER,8.248121,123.070233,ZAMBOANGA DEL NORTE,SIAYAN,62,5,40,200
TUKURA,TUKURA-2,MACRO,MACRO,GREEN,7.856096,123.579301,ZAMBOANGA DEL SUR,TUKURAN,48,155,40,200
AGUADA1ISBELABAS,AGUADA1ISBELABAS-2,MACRO,MACRO,RED,6.69743,121.968,BASILAN,ISABELA CITY,35,180,40,200
BALSIAORLY,BALSIAORLY-2,MACRO,MACRO,RED,7.766289,122.157,ZAMBOANGA DEL NORTE,BALIGUIAN,44,100,40,200
BATULAWANPIKITCOT,BATULAWANPIKITCOT-2,MACRO,MACRO,AMBER,7.066362,124.672257,COTABATO,PIKIT,39,180,40,200
BAYBAYKOLAMBLDN,BAYBAYKOLAMBLDN-3,MACRO,MACRO,AMBER,8.110175,123.887121,LANAO DEL NORTE,KOLAMBUGAN,48,230,40,200
BMORET,BMORET-2,MACRO,MACRO,AMBER,6.918128,122.061831,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,31,120,40,200
CAPHILLBONGAOTAWI,CAPHILLBONGAOTAWI-3,MACRO,MACRO,AMBER,5.0228,119.763237,TAWI-TAWI,BONGAO (CAPITAL),40,320,40,200
DANSLR,DANSLR-1,MACRO,MACRO,AMBER,8.034324,122.577174,ZAMBOANGA DEL NORTE,LABASON,41,330,40,200
DANSLR,DANSLR-2,MACRO,MACRO,AMBER,8.034324,122.577174,ZAMBOANGA DEL NORTE,LABASON,41,90,40,200
DELAUSMDALUMLDS,DELAUSMDALUMLDS-2,MACRO,MACRO,RED,7.85451,124.1141,LANAO DEL SUR,MADALUM,49,120,40,200
IPIL,IPIL-3,MACRO,MACRO,AMBER,7.788609,122.574863,ZAMBOANGA SIBUGAY,IPIL (CAPITAL),38,240,40,200
KAPATA,KAPATA-1,MACRO,MACRO,GREEN,7.896929,123.767688,LANAO DEL NORTE,KAPATAGAN,38,20,40,200
KPATAG,KPATAG-1,MACRO,MACRO,RED,7.541053,124.213399,LANAO DEL SUR,MAROGONG,42,60,40,200
LINAMUNANTLAYANMGDN,LINAMUNANTLAYANMGDN-1,MACRO,MACRO,AMBER,7.016941,124.395382,MAGUINDANAO DEL SUR,TALAYAN,39,40,40,200
MABUHAYPILARSDN,MABUHAYPILARSDN-2,MACRO,MACRO,RED,9.823575,126.107892,SURIGAO DEL NORTE,PILAR,39,70,40,200
NOTRED,NOTRED-3,MACRO,MACRO,AMBER,7.217309,124.253799,MAGUINDANAO DEL NORTE,COTABATO CITY,21,220,40,200
PANGIPILZSIB,PANGIPILZSIB-2,MACRO,MACRO,RED,7.800401,122.613512,ZAMBOANGA SIBUGAY,IPIL (CAPITAL),39,70,40,200
PANTUK,PANTUK-1,MACRO,MACRO,AMBER,7.128286,125.898074,DAVAO DE ORO,PANTUKAN,45,340,40,200
PATAWA,PATAWA-2,MACRO,MACRO,RED,8.095428,122.612848,ZAMBOANGA DEL NORTE,LABASON,41,120,40,200
POB3LEBAKSKUD,POB3LEBAKSKUD-2,MACRO,MACRO,RED,6.63171,124.065768,SULTAN KUDARAT,LEBAK,29,170,40,200
POB3LEBAKSKUD,POB3LEBAKSKUD-3,MACRO,MACRO,RED,6.63171,124.065768,SULTAN KUDARAT,LEBAK,29,270,40,200
POBSAGUIALDS,POBSAGUIALDS-1,MACRO,MACRO,AMBER,8.037301,124.269947,LANAO DEL SUR,SAGUIARAN,39,340,40,200
POLONU,POLONU-3,MACRO,MACRO,AMBER,6.287003,124.971381,SOUTH COTABATO,TUPI,40,230,40,200
PRK2POBCAGWITSDS,PRK2POBCAGWITSDS-2,MACRO,MACRO,AMBER,8.919689,126.301771,SURIGAO DEL SUR,CAGWAIT,42,125,40,200
RJOLO,RJOLO-1,MACRO,MACRO,GREEN,6.015249,121.078401,SULU,PATIKUL,40,330,40,200
RJOLO,RJOLO-2,MACRO,MACRO,GREEN,6.015249,121.078401,SULU,PATIKUL,40,50,40,200
ROSARYHT10COTABMGDN,ROSARYHT10COTABMGDN-1,MACRO,MACRO,GREEN,7.198797,124.236743,MAGUINDANAO DEL NORTE,COTABATO CITY,39.3,330,40,200
ROSARYHT7COTABMGDN,ROSARYHT7COTABMGDN-2,MACRO,MACRO,AMBER,7.201862,124.246301,MAGUINDANAO DEL NORTE,COTABATO CITY,39,120,40,200
RSOUPI,RSOUPI-2,MACRO,MACRO,RED,6.86902,124.1704,MAGUINDANAO DEL SUR,SOUTH UPI,50,190,40,200
RSOUPI,RSOUPI-3,MACRO,MACRO,RED,6.86902,124.1704,MAGUINDANAO DEL SUR,SOUTH UPI,50,290,40,200
RTALTAKGLAN,RTALTAKGLAN-1,MACRO,MACRO,AMBER,5.612134,125.337143,SARANGANI,GLAN,40,40,40,200
RUMIBARIRAMGDN,RUMIBARIRAMGDN-1,MACRO,MACRO,RED,7.40903,124.35166,MAGUINDANAO DEL NORTE,BARIRA,40,70,40,200
SIOCON,SIOCON-1,MACRO,MACRO,AMBER,7.705739,122.140146,ZAMBOANGA DEL NORTE,SIOCON,31,0,40,200
SIOCON,SIOCON-3,MACRO,MACRO,AMBER,7.705739,122.140146,ZAMBOANGA DEL NORTE,SIOCON,31,270,40,200
SWITYAKALANTAWBAS,SWITYAKALANTAWBAS-3,MACRO,MACRO,AMBER,6.587588,121.926548,BASILAN,LANTAWAN,33,250,40,200
TAGOL1,TAGOL1-3,MACRO,MACRO,AMBER,8.537904,124.752,MISAMIS ORIENTAL,TAGOLOAN,42,290,40,200
TAMPAR,TAMPAR-1,MACRO,MACRO,AMBER,7.864775,124.331535,LANAO DEL SUR,TAMPARAN,42,0,40,200
TAMPILMARAWILDS,TAMPILMARAWILDS-3,MACRO,MACRO,AMBER,8.015265,124.288536,LANAO DEL SUR,MARAWI CITY (CAPITAL),38,200,40,200
TANDUBATOLUUKSULU,TANDUBATOLUUKSULU-1,MACRO,MACRO,RED,5.993722,121.307278,SULU,LUUK,39,10,40,200
TCAICBUSBUSJOLOSULU,TCAICBUSBUSJOLOSULU-2,MACRO,MACRO,RED,6.05902,121.006765,SULU,JOLO (CAPITAL),18,120,40,200
TCAICLILSADUCMARAWILDS,TCAICLILSADUCMARAWILDS-2,MACRO,MACRO,AMBER,8.009812,124.290576,LANAO DEL SUR,MARAWI CITY (CAPITAL),49,180,40,200
TCAICSNAGUSTINTANDAGSDS,TCAICSNAGUSTINTANDAGSDS-3,MACRO,MACRO,AMBER,9.07673,126.182567,SURIGAO DEL SUR,TANDAG CITY (CAPITAL),39,280,40,200
TCFGAANIBONCARMENDDN,TCFGAANIBONCARMENDDN-2,MACRO,MACRO,AMBER,7.397727,125.714668,DAVAO DEL NORTE,CARMEN,39,130,40,200
TCFGABULOLPIKITCOT,TCFGABULOLPIKITCOT-2,MACRO,MACRO,AMBER,7.0034,124.691,COTABATO,PIKIT,39,135,40,200
TCFGACENTRASURALLSCOT,TCFGACENTRASURALLSCOT-1,MACRO,MACRO,AMBER,6.357108,124.75581,SOUTH COTABATO,SURALLAH,39,90,40,200
TCFGACENTRASURALLSCOT,TCFGACENTRASURALLSCOT-2,MACRO,MACRO,GREEN,6.357108,124.75581,SOUTH COTABATO,SURALLAH,39,160,40,200
TCFGADALINGAOENPIKITNCOT,TCFGADALINGAOENPIKITNCOT-3,MACRO,MACRO,AMBER,7.080191,124.662069,COTABATO,PIKIT,27,170,40,200
TCFGAHAYANCLAVERSDN,TCFGAHAYANCLAVERSDN-3,MACRO,MACRO,RED,9.54005,125.841,SURIGAO DEL NORTE,CLAVER,6,220,40,200
TCFGAKAJAT1INDANASULU,TCFGAKAJAT1INDANASULU-2,MACRO,MACRO,AMBER,6.044037,120.997667,SULU,INDANAN,35,110,40,200
TCFGAPANGYAGLANSAR,TCFGAPANGYAGLANSAR-1,MACRO,MACRO,AMBER,5.694134,125.292121,SARANGANI,GLAN,42,350,40,200
TCFGASEASIDEISBELABAS,TCFGASEASIDEISBELABAS-1,MACRO,MACRO,RED,6.706765,121.979251,BASILAN,ISABELA CITY,29,300,40,200
TCFGASIMBPOBPANGUTSULU,TCFGASIMBPOBPANGUTSULU-2,MACRO,MACRO,RED,6.305528,120.58175,SULU,PANGUTARAN,39,180,40,200
TCFGASPABLODUMINGZDS,TCFGASPABLODUMINGZDS-3,MACRO,MACRO,AMBER,8.154928,123.348166,ZAMBOANGA DEL SUR,DUMINGAG,40,245,40,200
TCISCALUMGENSANSCOT,TCISCALUMGENSANSCOT-2,MACRO,MACRO,RED,6.07768,125.13758,SOUTH COTABATO,GENERAL SANTOS CITY,29,110,40,200
TCPHTCORAHABMALABALDS,TCPHTCORAHABMALABALDS-1,MACRO,MACRO,RED,7.592528,124.069249,LANAO DEL SUR,MALABANG,43,20,40,200
TCPHTCORAHABMALABALDS,TCPHTCORAHABMALABALDS-2,MACRO,MACRO,RED,7.592528,124.069249,LANAO DEL SUR,MALABANG,43,155,40,200
TCPHTEDWARDSTBOLISCOT,TCPHTEDWARDSTBOLISCOT-1,MACRO,MACRO,GREEN,5.918052,124.8024,SARANGANI,KIAMBA,39,350,40,200
TCPHTRANGAYALMADANCOT,TCPHTRANGAYALMADANCOT-3,MACRO,MACRO,RED,7.47983,124.5642,COTABATO,ALAMADA,44,290,40,200
TPOMATRLNGUPUKANBAS,TPOMATRLNGUPUKANBAS-2,MACRO,MACRO,AMBER,6.490286,122.1153,BASILAN,UNGKAYA PUKAN,43,35,40,200
TPOMATRLNGUPUKANBAS,TPOMATRLNGUPUKANBAS-3,MACRO,MACRO,AMBER,6.490286,122.1153,BASILAN,UNGKAYA PUKAN,43,210,40,200
UPI2,UPI2-3,MACRO,MACRO,AMBER,7.054639,124.146991,MAGUINDANAO DEL NORTE,UPI,32,280,40,200
BANGKALPTKUL1,BANGKALPTKUL1-3,MACRO,MACRO,RED,6.050661,121.01771,SULU,PATIKUL,39,250,40,200
HADJIMAMSIBUTUTAWI,HADJIMAMSIBUTUTAWI-1,MACRO,MACRO,RED,4.826,119.491,TAWI-TAWI,SIBUTU,49,285,40,200
TCAICDANSOLIHONCDOMOR,TCAICDANSOLIHONCDOMOR-2,MACRO,MACRO,AMBER,8.306945,124.578245,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),43,75,40,200
TCAICEASTPOBRIZALZDN,TCAICEASTPOBRIZALZDN-1,MACRO,MACRO,RED,8.522568,123.553404,ZAMBOANGA DEL NORTE,RIZAL,36,0,40,200
TCAICKINABLANBAGANGDVOR,TCAICKINABLANBAGANGDVOR-2,MACRO,MACRO,RED,7.58895,126.559083,DAVAO ORIENTAL,BAGANGA,39,185,40,200
TCAICLILIONG2CARMENNCOT,TCAICLILIONG2CARMENNCOT-1,MACRO,MACRO,RED,7.365313,124.78247,COTABATO,CARMEN,41,90,40,200
TCAICNALAPAANPIKITNCOT,TCAICNALAPAANPIKITNCOT-2,MACRO,MACRO,RED,7.099102,124.624208,COTABATO,PIKIT,44,200,40,200
TCAICNEWLITUBANSIOCONZDN,TCAICNEWLITUBANSIOCONZDN-2,MACRO,MACRO,RED,7.7103,122.1703,ZAMBOANGA DEL NORTE,SIOCON,29,120,40,200
TCAICPOBMAROGOLDS,TCAICPOBMAROGOLDS-1,MACRO,MACRO,RED,7.6788,124.149,LANAO DEL SUR,MAROGONG,40,310,40,200
TCAICPOBMAROGOLDS,TCAICPOBMAROGOLDS-2,MACRO,MACRO,RED,7.6788,124.149,LANAO DEL SUR,MAROGONG,40,60,40,200
TCAICPOBMAROGOLDS,TCAICPOBMAROGOLDS-3,MACRO,MACRO,RED,7.6788,124.149,LANAO DEL SUR,MAROGONG,40,170,40,200
TCAICSUHARABISIOCONZDN,TCAICSUHARABISIOCONZDN-1,MACRO,MACRO,RED,7.6988,122.1274,ZAMBOANGA DEL NORTE,SIOCON,44,35,40,200
TCAICSUHARABISIOCONZDN,TCAICSUHARABISIOCONZDN-2,MACRO,MACRO,AMBER,7.6988,122.1274,ZAMBOANGA DEL NORTE,SIOCON,44,100,40,200
TCAICTAMBOPOBPUALASLDS,TCAICTAMBOPOBPUALASLDS-2,MACRO,MACRO,RED,7.822867,124.079364,LANAO DEL SUR,PUALAS,47,180,40,200
TCEDCBULIBULISUMSIPBAS,TCEDCBULIBULISUMSIPBAS-3,MACRO,MACRO,RED,6.419623,122.035274,BASILAN,SUMISIP,41,265,40,200
TCEDCCAMPCROSLIBONABUK,TCEDCCAMPCROSLIBONABUK-3,MACRO,MACRO,RED,8.325157,124.799793,BUKIDNON,LIBONA,39,180,40,200
TCEDCDELMONTEBUUGZSIB,TCEDCDELMONTEBUUGZSIB-1,MACRO,MACRO,RED,7.72171,123.00032,ZAMBOANGA SIBUGAY,BUUG,38,350,40,200
TCEDCKIBANGAYLANTAPBUK,TCEDCKIBANGAYLANTAPBUK-3,MACRO,MACRO,RED,8.048479,124.895512,BUKIDNON,LANTAPAN,38,260,40,200
TCEDCSOMOGREDUPANABODDN,TCEDCSOMOGREDUPANABODDN-2,MACRO,MACRO,RED,7.304324,125.677384,DAVAO DEL NORTE,PANABO CITY,34,110,40,200
TCFGATOWNSTE1MLUSOBAS,TCFGATOWNSTE1MLUSOBAS-1,MACRO,MACRO,AMBER,6.54367,121.869,BASILAN,MALUSO,32,15,40,200
TCFGAZ2MAMBUYACDOMOR,TCFGAZ2MAMBUYACDOMOR-1,MACRO,MACRO,RED,8.328659,124.5967,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),39,10,40,200
TCISBARURAOLEBAKSKUD,TCISBARURAOLEBAKSKUD-2,MACRO,MACRO,RED,6.658876,124.072675,SULTAN KUDARAT,LEBAK,39,190,40,200
TCISBARURAOLEBAKSKUD,TCISBARURAOLEBAKSKUD-3,MACRO,MACRO,RED,6.658876,124.072675,SULTAN KUDARAT,LEBAK,39,270,40,200
TCISUNION1MONKAYCVLY,TCISUNION1MONKAYCVLY-2,MACRO,MACRO,RED,7.80834,126.0973,DAVAO DE ORO,MONKAYO,39,130,40,200
TCLDCPAHUTBONGAOTAWI,TCLDCPAHUTBONGAOTAWI-1,MACRO,MACRO,AMBER,5.02738,119.741,TAWI-TAWI,BONGAO (CAPITAL),39,10,40,200
TUBORANDELCARSDN,TUBORANDELCARSDN-2,MACRO,MACRO,RED,9.82122,126.05,SURIGAO DEL NORTE,DEL CARMEN,39,0,40,200
BURIAS,BURIAS-3,MACRO,MACRO,AMBER,5.723564,125.253052,SARANGANI,GLAN,45,150,40,200
GOVGE2,GOVGE2-1,MACRO,MACRO,AMBER,6.47202,126.122513,DAVAO ORIENTAL,GOVERNOR GENEROSO,51,310,40,200
GOVGE2,GOVGE2-3,MACRO,MACRO,RED,6.47202,126.122513,DAVAO ORIENTAL,GOVERNOR GENEROSO,51,215,40,200
ILIGA2,ILIGA2-3,MACRO,MACRO,AMBER,8.174258,124.187248,LANAO DEL NORTE,ILIGAN CITY,49,260,40,200
MACO,MACO-3,MACRO,MACRO,AMBER,7.3708,125.860052,DAVAO DE ORO,MACO,36,200,40,200
MUSUAN,MUSUAN-1,MACRO,MACRO,GREEN,7.876873,125.06977,BUKIDNON,MARAMAG,29,40,40,200
NEWPNGISULANSKUD,NEWPNGISULANSKUD-3,MACRO,MACRO,AMBER,6.636963,124.554186,SULTAN KUDARAT,ISULAN (CAPITAL),49,210,40,200
P4HINAMGIGAQTSDN,P4HINAMGIGAQTSDN-1,MACRO,MACRO,AMBER,9.587363,125.695481,SURIGAO DEL NORTE,GIGAQUIT,38,20,40,200
POBPIL,POBPIL-3,MACRO,MACRO,AMBER,7.782107,122.581915,ZAMBOANGA SIBUGAY,IPIL (CAPITAL),45,215,40,200
RJDALM,RJDALM-3,MACRO,MACRO,AMBER,8.394167,122.982303,ZAMBOANGA DEL NORTE,JOSE DALMAN,40,190,40,200
SANTICARAGADVOR,SANTICARAGADVOR-1,MACRO,MACRO,AMBER,7.27231,126.573685,DAVAO ORIENTAL,CARAGA,58,330,40,200
TULUNA,TULUNA-1,MACRO,MACRO,AMBER,6.823999,124.883584,COTABATO,TULUNAN,49,350,40,200
KATIPU,KATIPU-1,MACRO,MACRO,AMBER,8.511781,123.282338,ZAMBOANGA DEL NORTE,KATIPUNAN,49,70,40,200
LEBAK,LEBAK-3,MACRO,MACRO,AMBER,6.639777,124.065964,SULTAN KUDARAT,LEBAK,49,220,40,200
LILOY,LILOY-1,MACRO,MACRO,AMBER,8.118623,122.68249,ZAMBOANGA DEL NORTE,LILOY,50,40,40,200
MAIGO,MAIGO-2,MACRO,MACRO,AMBER,8.160215,123.960976,LANAO DEL NORTE,MAIGO,38,230,40,200
MEDINA,MEDINA-2,MACRO,MACRO,GREEN,8.906586,125.022062,MISAMIS ORIENTAL,MEDINA,33,180,40,200
MLANG,MLANG-1,MACRO,MACRO,GREEN,6.946377,124.880841,COTABATO,M'LANG,38,50,40,200
PAGADI,PAGADI-1,MACRO,MACRO,AMBER,7.841627,123.38244,ZAMBOANGA DEL SUR,PAGADIAN CITY (CAPITAL),39,0,40,200
POBPANGAN,POBPANGAN-1,MACRO,MACRO,AMBER,7.833175,124.824202,BUKIDNON,PANGANTUCAN,40,30,40,200
POBPANGAN,POBPANGAN-2,MACRO,MACRO,GREEN,7.833175,124.824202,BUKIDNON,PANGANTUCAN,40,130,40,200
PUROK4GLUNASDN,PUROK4GLUNASDN-2,MACRO,MACRO,AMBER,9.788192,126.153196,SURIGAO DEL NORTE,GENERAL LUNA,50,80,40,200
TALITAY,TALITAY-2,MACRO,MACRO,RED,7.035857,124.374316,MAGUINDANAO DEL NORTE,TALITAY,40,180,40,200
TUKARLY,TUKARLY-2,MACRO,MACRO,AMBER,5.990614,124.610854,SARANGANI,KIAMBA,36,60,40,200
AMABINISINDANZDN,AMABINISINDANZDN-2,MACRO,MACRO,AMBER,8.233173,122.998734,ZAMBOANGA DEL NORTE,SINDANGAN,43,115,40,200
ASTURIASJOLOSULU,ASTURIASJOLOSULU-2,MACRO,MACRO,AMBER,6.046635,121.004805,SULU,OMAR,20,130,40,200
BALIWASANZDS,BALIWASANZDS-2,MACRO,MACRO,GREEN,6.916004,122.056362,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,35,120,40,200
BALIWASANZDS,BALIWASANZDS-3,MACRO,MACRO,AMBER,6.916004,122.056362,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,35,240,40,200
BANISI,BANISI-3,MACRO,MACRO,GREEN,7.509772,124.694218,COTABATO,BANISILAN,46,260,40,200
BAYANCALOBUTUANAGN,BAYANCALOBUTUANAGN-3,MACRO,MACRO,GREEN,8.944953,125.544432,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),40,220,40,200
BENITEZBANGASCOT,BENITEZBANGASCOT-1,MACRO,MACRO,AMBER,6.420238,124.777834,SOUTH COTABATO,BANGA,50,345,40,200
BULAWANZSIB,BULAWANZSIB-2,MACRO,MACRO,GREEN,7.652109,122.821494,ZAMBOANGA SIBUGAY,PAYAO,39,125,40,200
BULAWANZSIB,BULAWANZSIB-3,MACRO,MACRO,AMBER,7.652109,122.821494,ZAMBOANGA SIBUGAY,PAYAO,39,220,40,200
CMUSPCOW,CMUSPCOW-3,COW,MACRO,RED,7.85975,125.0517,BUKIDNON,MARAMAG,18,240,40,200
DAKAK,DAKAK-1,MACRO,MACRO,AMBER,8.693817,123.394822,ZAMBOANGA DEL NORTE,DAPITAN CITY,4,330,40,200
DELAUSMDALUMLDS,DELAUSMDALUMLDS-3,MACRO,MACRO,RED,7.85451,124.1141,LANAO DEL SUR,MADALUM,49,220,40,200
DENLAGLSEBUSCOT,DENLAGLSEBUSCOT-1,MACRO,MACRO,AMBER,6.156774,124.77747,SOUTH COTABATO,LAKE SEBU,49,280,40,200
DISUDSINDANZDN,DISUDSINDANZDN-3,MACRO,MACRO,AMBER,8.247285,122.9995,ZAMBOANGA DEL NORTE,SINDANGAN,37,190,40,200
IMBATU,IMBATU-3,MACRO,MACRO,AMBER,8.311129,124.69115,BUKIDNON,BAUNGON,45,260,40,200
INDUST,INDUST-2,MACRO,MACRO,AMBER,6.970082,121.946075,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,45,130,40,200
IPIL,IPIL-2,MACRO,MACRO,GREEN,7.788609,122.574863,ZAMBOANGA SIBUGAY,IPIL (CAPITAL),38,120,40,200
JOLO,JOLO-1,MACRO,MACRO,AMBER,6.050821,121.001631,SULU,JOLO (CAPITAL),38,20,40,200
KALAWAG2ISULANSKUD,KALAWAG2ISULANSKUD-1,MACRO,MACRO,RED,6.6313,124.603,SULTAN KUDARAT,ISULAN (CAPITAL),52,30,40,200
KALAWAG2ISULANSKUD,KALAWAG2ISULANSKUD-2,MACRO,MACRO,RED,6.6313,124.603,SULTAN KUDARAT,ISULAN (CAPITAL),52,130,40,200
KALIMBUDWA1PATKULSULU,KALIMBUDWA1PATKULSULU-2,MACRO,MACRO,AMBER,6.043876,121.011334,SULU,PATIKUL,41,180,40,200
KALIMBUDWA1PATKULSULU,KALIMBUDWA1PATKULSULU-3,MACRO,MACRO,AMBER,6.043876,121.011334,SULU,PATIKUL,41,250,40,200
KCC1ZAMBO,KCC1ZAMBO-1,IBS,IBS,AMBER,6.91939,122.072995,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,3,360,40,40
KISOLN,KISOLN-1,MACRO,MACRO,AMBER,8.32219,124.974114,BUKIDNON,SUMILAO,39,10,40,200
LABUSHRFAGQKMGND,LABUSHRFAGQKMGND-3,MACRO,MACRO,GREEN,6.847364,124.4527,MAGUINDANAO DEL SUR,SHARIFF AGUAK,35,280,40,200
LAFORTUNAVRUELAAGS,LAFORTUNAVRUELAAGS-2,MACRO,MACRO,AMBER,8.026526,125.911373,AGUSAN DEL SUR,VERUELA,39,130,40,200
LOWLANOTE2ISBELABAS,LOWLANOTE2ISBELABAS-3,MACRO,MACRO,AMBER,6.68814,121.982,BASILAN,ISABELA CITY,40,230,40,200
MAGANDALAMITNBAS,MAGANDALAMITNBAS-2,MACRO,MACRO,AMBER,6.658195,122.146131,BASILAN,LAMITAN CITY (CAPITAL),39,150,40,200
MAGANDALAMITNBAS,MAGANDALAMITNBAS-3,MACRO,MACRO,AMBER,6.658195,122.146131,BASILAN,LAMITAN CITY (CAPITAL),39,240,40,200
MAGSAYPOBPLACERSDN,MAGSAYPOBPLACERSDN-3,MACRO,MACRO,RED,9.657326,125.601584,SURIGAO DEL NORTE,PLACER,40,240,40,200
MALAMBUSIOCONZDN,MALAMBUSIOCONZDN-2,MACRO,MACRO,RED,7.767472,122.155611,ZAMBOANGA DEL NORTE,BALIGUIAN,42,80,40,200
MAMASP,MAMASP-3,MACRO,MACRO,RED,6.893829,124.499399,MAGUINDANAO DEL SUR,MAMASAPANO,36,240,40,200
MARCOSPUTIK,MARCOSPUTIK-2,MACRO,MACRO,AMBER,6.935361,122.09788,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,39,15,40,200
MENZISBELABAS,MENZISBELABAS-2,MACRO,MACRO,GREEN,6.686781,121.969799,BASILAN,ISABELA CITY,40,200,40,200
MENZISBELABAS,MENZISBELABAS-3,MACRO,MACRO,AMBER,6.686781,121.969799,BASILAN,ISABELA CITY,40,280,40,200
MONCKADMAR,MONCKADMAR-1,MACRO,MACRO,AMBER,8.0011,124.3026,LANAO DEL SUR,MARAWI CITY (CAPITAL),40,20,40,200
NORTHPOBMARAM,NORTHPOBMARAM-2,MACRO,MACRO,AMBER,7.764702,125.007642,BUKIDNON,MARAMAG,40,170,40,200
